Name,Address,Rooms,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Category,Grade,Final_Grade,Food_Type,Hotel_ID
RAMADIA RANMAL HOLIDAY RESORT,"346/5,GALLE ROAD,GORAKANA,MORATUWA",25,Kalutara,Moratuwa,Moratuwa Divisional Secretariat,79.8977545,6.7636079,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00482
HOTEL DULYANA,"488/18,MAITHREEPALA SENANAYAKE MW,ANURADHAPURA",30,Anuradhapura,Anuradhapura,N.P.East,80.405856,8.325802,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00483
INDRA REGENT HOTEL,"NO.383,R.A.D.MEL MAWATHA,COLOMBO 03",26,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.854138,6.90434,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00484
HOTEL CHAMILA,"NO.85,TISSA ROAD,DETAGAMWA KATARAGAMA.",50,Moneragala,Thissamaharama,Katharagama Divisional Secretariat,81.33300018,6.416999817,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00485
HOTEL SUSANTHAS,"NATIONAL HOLIDAY RESORT RD,PITARAMBA,BENTOTA",18,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996968,6.421783,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00486
BERJAYA MOUNT ROYAL BEACH HOTEL,"NO:36,COLLAGE AVENUE,MOUNT LAVINIA",90,Colombo,Moratuwa,Mount Lavinia,79.864017,6.838659,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00487
NILWALA HOTEL,"NILWALA HOTEL, GALLE ROAD, KALUWAMODARA, ALUTHGAMA.",10,Kalutara,Aluthgama,Aluthgama,79.993697,6.439855,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00488
PIGEON ISLAND BEACH HOTEL,"11TH MILE POST, NILAVELI, TRINCOMALEE.",38,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.1836029,8.712216,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00489
GLENDOWER HOTEL,"NO:05,GRAND HOTEL ROAD,NUWARA ELIYA",20,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.7663938,6.9675209,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00490
RANDIYA HOTEL,"389,KORALAWELLA,MORATUWA",10,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.8934418,6.7504834,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00491
TEMPLE TREE RESORT AND SPA,"NO:660,GALLE ROAD,INDURUWA",10,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.0088026,6.385751,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00492
FULL MOON GARDEN HOTEL,"NO.754, COLOMBO ROAD, KATUNAYAKE.",30,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,79.874539,7.154204,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00493
BARBERYN REEF AYURVEDA RESORT,"MORAGALLA,BERUWALA",75,Kalutara,Bentota Pradeshiya Sabha,Beruwala Divisional Secretariat,79.979952,6.4500038,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00494
GIMANHALA HOTEL,754 ANURADHAPURA ROAD DAMBULLA,17,Matale,Matale,Dambulla Divisional Secretariat,80.650599,7.879954,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00495
FIELDVIEW HOLYDAY RESORT,"ANNASIWATTE ROAD,OFF MDH,JAWARDANA MW,ATHURUGIRIYA.",10,Colombo,Colombo,Kesbewa Divisional Secretariat,79.986678,6.894121,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00496
LAKE SERENITY,"GONAPITIYA, KURUWITA",14,Ratnapura,Ratnapura,Ratnapura Divisional Secretariat,80.352292,6.762787,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00497
KOGGALA BEACH HOTEL,"KOGGALA,HABARADUWA.",189,Galle,Galle,Habaraduwa Divisional Secretariat,80.3218329,5.9892056,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00498
HOTEL SUNHILL,"NO.18 UNIQUE VIEW ROAD,NUWARAELIYA",15,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.765424,6.963358,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00499
HOTEL HILL TOP,"200/21,BAHIRAVAKANDA,PERADENIYA ROAD,KANDY",81,Kandy,Kandy,Kundasale Divisional Secretariat,80.628789,7.289342,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00500
AVANI BENTOTA RESORT & SPA,"NATIONAL HOLIDAY RESORT,BENTOTA",90,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.996304,6.423673,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00501
AUSTRIAN BEACH RESORT,"2/A 2, BANDARAWATTA,KEMAGODA,DICKWELLA",10,Matara,Matara,Dickwella Divisional Secretariat,80.722005,5.978461,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00502
ROYAL LOTUS HOTEL,"GIRITHALE, POLONNARUWA.",56,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.921978,7.991502,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00503
RIVERDALE HOTEL,"32, ANIWATTA ROAD, KANDY.",29,Kandy,Kandy,Kandy Divisional Secretariat,80.621583,7.289724,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00504
PARADISE HOLIDAY VILLAGE,"NO. 154/9, PORUTHOTA ROAD, PALANGATHURE, KOCHCHIKADE, NEGOMBO",33,Gampaha,Negombo,Negombo Divisional Secretariat,79.8422101,7.2467725,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00505
KITHALA RESORT,"KATARAGAMA ROAD, THISSAMAHARAMA.",40,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.297427,6.292455,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00506
LALITHA HOTEL,"NO.200A,GALLE ROAD, PAMBURANA, MATARA.",27,Matara,Matara,Matara Divisional Secretariat,80.5251754,5.9442652,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00507
RATHNALOKA TOUR INN,"KOSGALA, KAHAGAMA, RATNAPURA",53,Ratnapura,Ratnapura,Ratnapura Divisional Secretariat,80.356453,6.713322,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00508
HOTEL CASAMARA,"NO.12, KATUGODELLA VIDIYA, KANDY.",33,Kandy,Kandy,Kandy Divisional Secretariat,80.63721,7.293367,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00509
HOTEL YAPAHUWA PARADISE,"KINGDOM ROAD,YAPAHUWA,MAHO",20,Kurunegala,Mahawa Pradeshiya Sabha,Mahawa Divisional Secretariat,80.305903,7.82901,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00510
RANDHOLEE RESORTS,"HEERASSAGALA, BOWALAWATTE, KANDY",25,Kandy,Kandy,Kandy Divisional Secretariat,80.616914,7.2631411,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00511
SERENE GARDEN HOTEL,"NO. 189, RAJAPIHILLA MAWATHA, KANDY",35,Kandy,Kandy,Kandy Divisional Secretariat,80.6441223,7.2848598,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00512
WILA SAFARI HOTEL,"PANNEGAMUWA,WEERAWILA",10,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.236615,6.293125,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00513
WINDSOR HOTEL,"NO.02, KANDY ROAD, NUWARA ELIYA.",50,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.770061,6.970741,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00514
HOTEL ATHGIRI,"NO. 344-350, KANDY ROAD, KURUNEGALA",23,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,80.372245,7.479005,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00515
MIRIDIYA HOTEL,"WASALA DATHTHA MAWATHA, ANURADHAPURA",40,Anuradhapura,Anuradhapura,Anuradhapura East,80.4185724,8.3314154,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00516
LADY HILL,"NO. 29,UPPER DICKSON ROAD, GALLE",15,Galle,Galle,Galle Divisional Secretariat,80.218668,6.038658,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00517
GIRITALE HOTEL,"NATIONAL HOLIDAY RESORT, GIRITALE",40,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.927946,7.997114,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00518
SANMIRA RENAISSANCE,"MATARA ROAD, UNAWATUNA",20,Galle,Habaraduwa,Galle Divisional Secretariat,80.255045,6.006051,Classified Hotels( 1-5 Star),THREE,superior,Veg & Non-Veg,SL_HOTEL_00519
OMEGA REGENCY,"NO. 324, GALLE ROAD, COLOMBO 06",15,Colombo,Colombo,Colombo Divisional Secretariat,79.862086,6.869123,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00520
CHAAYA WILD YALA,"P.O. BOX. 01, KIRINDA, TISSAMAHARAMA",61,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.405281,6.259168,Classified Hotels( 1-5 Star),FOUR,deluxe,Veg & Non-Veg,SL_HOTEL_00521
CHAAYA TRANZ HOTEL,"P.O. BOX. 01, GALLE ROAD, HIKKADUWA.",150,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.100753,6.131353,Classified Hotels( 1-5 Star),FOUR,deluxe,Veg & Non-Veg,SL_HOTEL_00522
HOTEL NELLY,"NO. 84, 02ND CROSS STREET, VAUNIYA",20,Vavuniya,Vavuniya,Vavuniya,80.499954,8.751378,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00523
THE KINGSBURY,"NO 48, JANADHIPATHI MAWATHA, COLOMBO 01",229,Colombo,Colombo,Colombo Divisional Secretariat,79.84247,6.933232,Classified Hotels( 1-5 Star),FIVE,deluxe,Veg & Non-Veg,SL_HOTEL_00524
THE GRAND KANDYAN,"89/10,LADY GORDONS DRIVE, KANDY",100,Kandy,Kandy,Kandy Divisional Secretariat,80.634571,7.3024019,Classified Hotels( 1-5 Star),FIVE,deluxe,Veg & Non-Veg,SL_HOTEL_00525
CINNAMON RED COLOMBO,"NO:59, ANANDA COOMARASWAMY MAWATHA, COLOMBO 03.",243,Colombo,Colombo,Colombo Divisional Secretariat,79.8530983,6.912114,Classified Hotels( 1-5 Star),THREE,superior,Veg & Non-Veg,SL_HOTEL_00526
SHANGRI-LA S HAMBANTOTA RESORT & SPA,"SITTRAKALA WATTA, CHITHRAGALA, AMBALANTOTA",300,Hambantota,Ambalantota Pradeshiya Sabha,Ambalantota Divisional Secretariat,81.0638697,6.1120643,Classified Hotels( 1-5 Star),FIVE,deluxe,Veg & Non-Veg,SL_HOTEL_00527
MIRAGE HOTEL,"NO: 61, MOORS ROAD, MARINE DRIVE, WELLAWATTE, COLOMBO 06",60,Colombo,Colombo,Colombo Divisional Secretariat,79.8565303,6.8705488,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00528
THE OCEAN COLOMBO,"NO-40, MELBOURNE AVENUE, COLOMBO 04.",49,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.8530075,6.8853104,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00529
EARLS REGENT HOTEL,"NO. 1/40, DEVENIRAJASINGHE ROAD, PERADENIYA,KANDY",60,Kandy,Kandy,Kandy Divisional Secretariat,80.610734,7.283476,Classified Hotels( 1-5 Star),THREE,superior,Veg & Non-Veg,SL_HOTEL_00530
FAIRVIEW HOTEL,"NO:27, RAMKRISHNA ROAD, WELLAWATTE, COLOMBO 06",50,Colombo,Colombo,Colombo Divisional Secretariat,79.861298,6.865486,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00531
RIU HOTEL,"GALLE ROAD, AHUNGALLE",501,Galle,Galle,Galle Divisional Secretariat,80.0310513,6.30957,Classified Hotels( 1-5 Star),FIVE,deluxe,Veg & Non-Veg,SL_HOTEL_00532
ANANTAYA RESORT & SPA,"COCOUNT BOARD ROAD,PASSEKUDAH,KALKUDAH",51,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.5499112,7.9315158,Classified Hotels( 1-5 Star),FIVE,deluxe,Veg & Non-Veg,SL_HOTEL_00533
ANANTARA PEACE HEAVEN RESORT,"GOYAMBOKKA ESTATE,TANGALLE",152,Hambantota,Hambantota,Hambantota Divisional Secretariat,80.783869,6.012477,Classified Hotels( 1-5 Star),FIVE,deluxe,Veg & Non-Veg,SL_HOTEL_00534
TANGERINE BEACH HOTEL,"DR ABREW ROAD,WASKADUWA,KALUTHARA",179,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9472113,6.608101,Classified Hotels( 1-5 Star),THREE,superior,Veg & Non-Veg,SL_HOTEL_00535
BEST WESTERN ELYON COLOMBO,"102A, KIRULAPONE AVENUE, BASELINE ROAD, COLOMBO 05.",52,Colombo,Colombo,Colombo Divisional Secretariat,79.8740663,6.883736,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00536
CINNAMON BEY,"MORAGOLLA BEACH,BERUWALA",200,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9768792,6.4522247,Classified Hotels( 1-5 Star),FOUR,deluxe,Veg & Non-Veg,SL_HOTEL_00537
PEARL GRAND HOTEL,"#09,EDWARD LANE,COLOMBO 03.",90,Colombo,Colombo,Colombo Divisional Secretariat,79.8531936,6.8961858,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00538
OCEAN EDGE SUITES,"24,10TH LANE,MARINE DRIVE,COLOMBO3",78,Colombo,Colombo,Colombo Divisional Secretariat,79.8499153,6.898455,Classified Hotels( 1-5 Star),THREE,superior,Veg & Non-Veg,SL_HOTEL_00539
COCO ROYAL BEACH,"WASKADUWA, KALUTHARA NORTH",70,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9449985,6.6137006,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00540
PARADISE BEACH HOTEL,"NO:289, LEWIS PLACE,NEGOMBO",61,Gampaha,Gampaha,Gampaha Divisional Secretariat,79.8386973,7.231262,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00541
COLOMBO COURTYARD,"435,R.A DE MEL MAWATHA,COLOMBO 03",32,Colombo,Colombo,Colombo Divisional Secretariat,79.8542653,6.897765,Classified Hotels( 1-5 Star),THREE,superior,Veg & Non-Veg,SL_HOTEL_00542
HOTEL JANAKI,"43, FIFE ROAD, THIMBIRIGASYAYA,COLOMBO 05",43,Colombo,Colombo,Colombo Divisional Secretariat,79.8676014,6.8907555,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00543
VILLA OCEAN VIEW,"200/1, MOLLIGODAWATTA,WADDUWA",143,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9286243,6.6552759,Classified Hotels( 1-5 Star),ONE,budget,Veg & Non-Veg,SL_HOTEL_00544
SHANGRI- LA HOTEL COLOMBO,"NO-01, CENTRE ROAD, GALLE FACE, COLOMBO 02",541,Colombo,Colombo,Colombo Divisional Secretariat,79.844619,6.928216,Classified Hotels( 1-5 Star),THREE,superior,Veg & Non-Veg,SL_HOTEL_00545
PANDANUS BEACH RESORT & SPA,"GALLE ROAD,YALEGAMA,INDURUWA 80510",76,Galle,Galle,Galle Divisional Secretariat,80.0076288,6.3797342,Classified Hotels( 1-5 Star),THREE,superior,Veg & Non-Veg,SL_HOTEL_00546
JETWING LAKE,"WIJEKUMARATHUNGA MAWATHA,YAPAGAMA,DAMBULLA.",94,Matale,Matale,Matale Divisional Secretariat,80.6465143,7.839867,Classified Hotels( 1-5 Star),FOUR,deluxe,Veg & Non-Veg,SL_HOTEL_00547
THE LAKESIDE AT NUWARAWEWA,"NEW TOWN,ANURADHAPURA",70,Anuradhapura,Anuradhapura,Anuradhapura East,80.4129173,8.337355,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00548
THE SANCTUARY AT TISSAWEWA,"OLD TOWN,ANURADHAPURA",22,Anuradhapura,Anuradhapura,Anuradhapura East,80.3879227,8.3423584,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00549
OZO KANDY,"NO31,SARANANKARA ROAD,KANDY",122,Kandy,Kandy,Kandy Divisional Secretariat,80.6405117,7.2883697,Classified Hotels( 1-5 Star),THREE,superior,Veg & Non-Veg,SL_HOTEL_00550
THE GOLDEN CROWN HOTEL,"322,UDAGAMA,AMPITIYA",63,Kandy,Gagawata Koralya,Gagawata,80.655418,7.277162,Classified Hotels( 1-5 Star),THREE,superior,Veg & Non-Veg,SL_HOTEL_00551
GRAND UDAWALAWE SAFARI RESORT,"NO 912, THANAMALVILA ROAD,UDAWALAWA",57,Ratnapura,Udawalawa,Embilipitiya Divisional Secretariat,80.8040993,6.419811,Classified Hotels( 1-5 Star),FOUR,deluxe,Veg & Non-Veg,SL_HOTEL_00552
LAVANGA RESORT AND SPA,"GALLE ROAD,PATHUWATHA,HIKKADUWA",20,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.1175713,6.115437,Classified Hotels( 1-5 Star),TWO,standard,Veg & Non-Veg,SL_HOTEL_00553
ALMAMALI HOTEL,"HEDAKETIYA,ANGUNUKOLAPELESSA",12,Hambantota,Batticaloa,Angunakolapelessa Divisional Secretariat,80.8983713,6.164142,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00554
BUWANEKA HOTEL AND RESTAURANT,"NO 01,DAMBULLA ROAD,KURUNEGALA",7,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,80.3626379,7.4893989,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00555
HOTEL LAGOON PARADISE,"NO. 12/7,RAJAWATTE,PAMUNUGAMA",8,Gampaha,Negombo,Negombo Divisional Secretariat,79.838623,7.135494,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00556
AMBASEVANA WALAUWA,"ARANAYAKE ROAD,USSAPITIYA,KEGALLE.",7,Kegalle,Kegalle,Aranayaka Divisional Secretariat,80.442372,7.248193,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00557
ACME GUEST HOUSE,"NO.90,POLONNARUWA ROAD,HABARANA",5,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,,,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00558
AHANGAMA EASY BEACH,"NO.12,AHANGAMA GALLE.",8,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,,,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00559
SHANGRELA BEACH RESORT,"38, SEA BEACH ROAD, AMBALANGODA",19,Galle,Ambalangoda,Galle Divisional Secretariat,80.051208,6.237265,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00560
GRAND CROWN HOTEL,"891,MILAGAS JUNCTION,ANURADHAPURA",10,Anuradhapura,Anuradhapura,Anuradhapura East,80.4063884,8.3208563,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00561
SAKURA TOURIST INN,"7/1,OLD STATION ROAD,MOUNT LAVINIA.",12,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,,,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00562
JAYALATH INN,"NO.269,WELIGAMPITIYA, JAELA",6,Gampaha,Gampaha,Ja-Ela Divisional Secretariat,79.894116,7.068365,Guest Houses(1),C,budget,Veg & Non-Veg,SL_HOTEL_00563
NUGASEWANA EDEN GUEST HOUSE AND RESTAURANT,"""NUGASEWANA"",PALLIKKUDAWA,TANGALLE.",6,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,80.788431,6.017925,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00564
VIVEKA GUEST HOUSE,"64,NORTH LAKE ROAD,KURUNAGALA.",5,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,80.364746,7.496378,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00565
HOTEL NATURE GARDENS,"NO.31,KANDY ROAD,YAKKALA",9,Gampaha,Gampaha,Gampaha Divisional Secretariat,,,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00566
JULIANA HOTEL,"NO.316,GALLE ROAD,COLOMBO 3",51,Colombo,Colombo,Colombo Divisional Secretariat,79.850259,6.90929,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00567
FINOMINAL GUEST,"MULANAGODA ROAD, ANGUNUKOLAPELASSA.",6,Hambantota,Angunakolapelessa,Angunakolapelessa Divisional Secretariat,,,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00568
THALAGALA HOLIDAY INN,"222/A,THALAGALAWATTA ROAD,KIRIWATTUDUWA.",9,Kalutara,Horana Pradeshiya Sabha,Horana Divisional Secretariat,,,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00569
HOTEL RAJIU PALACE,"NO. 69, GREEN STATE, BINGIRIYA",12,Kurunegala,Bingiriya Pradeshiya Sabha,Bingiriya Divisional Secretariat,,,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00570
THE BLUE MAGPIE,"KUDAWA WEDDAGALA, KALAWANA",12,Ratnapura,Ratnapura,Kalawana Divisional Secretariat,80.417373,6.443468,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00571
RAMBODA FALLS HOTEL,"76, ROCK FALL ESTATE, NUWARA ELIYA ROAD, RAMBODA",24,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.698155,7.055811,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00572
LAKE LODGE GUEST HOUSE,"NO.20, ALWIS TERRACE, COLOMBO 03.",13,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.854373,6.914976,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00573
ASNARA VILLAGE,"MORAGASWEWA,HABARANA.",12,Polonnaruwa,Hingurakgoda Pradeshiya Sabha,Hingurakgoda Divisional Secretariat,80.779024,8.031269,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00574
POLWATHTHA ECO-LODGES,"69/1, WEPATHANA, GOMAGODA.",5,Kandy,Kandy,Kundasale Divisional Secretariat,80.73704,7.326892,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00575
HOTEL SANDA DIYA,"POLONNARUWA ROAD,PELWEHERA,DAMBULLA.",6,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.677257,7.910221,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00576
NEW PANORAMA,"NO 302/1, MARADANA ROAD, MORAGALLA, BERUWALA",9,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.97774,6.457364,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00577
BATTICALOA HOLIDAY RESORT,"KALMUNAI MAIN ROAD, KALUWANCHIKUDI",7,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,,,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00578
MARINA BENTOTA,"PARADISE ISLAND, NATIONAL HOLIDAY RESORT, BENTOTA.",13,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.994808,6.428809,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00579
PEARL CLIFF HOTEL,"NO.25C, BROWNS HILL, MATARA",10,Matara,Matara,Matara Divisional Secretariat,80.565161,5.942197,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00580
HOTEL REHANS,KANDALAMA MIRIGAMA,6,Gampaha,Gampaha,Mirigama Divisional Secretariat,,,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00581
CANTALOUPE VILLAS,"MATARA ROAD, PALATUGAHA JUNCTION, HABARADUWA",16,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.294133,5.994196,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00582
ROYAL GARDEN GUEST HOUSE,"200,HOROWAPOTHANA ROAD,VAVUNIYA",5,Vavuniya,Vavuniya,Vavuniya,80.501698,8.754049,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00583
DAMPE VILLAGE,"222,DAMPE,MADAPATHA.",11,Colombo,Kesbewa,Kesbewa Divisional Secretariat,79.915921,6.771875,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00584
LUFORTUNE,"NO.108,108/1,108/B, SIRIBOPURA, HAMBANTOTA.",10,Hambantota,Hambantota,Hambantota Divisional Secretariat,,,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00585
JASMINE INN,"MATARA ROAD, TALPE",12,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.266027,5.999494,Guest Houses(1),B,standard,Veg & Non-Veg,SL_HOTEL_00586
HOTEL CANOLACK,"NO.10,PILANA ROAD,HABARADUWA.",8,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,,5.99471,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00587
AQUA PEARL LAKE RESORT,"201, GALKANUWA ROAD, GORAKANA MORATUWA",20,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.909622,6.763687,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00588
AQUARIUS RESORT,"BEACH ROAD, MARAWILA.",20,Puttalam,Puttalam Pradeshiya Sabha,Mahawewa Divisional Secretariat,,,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00589
SEA PORT GUEST HOUSE,"NO.70, ETHUKALA, NEGOMBO",10,Gampaha,Negombo,Negombo Divisional Secretariat,79.841867,7.240334,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00590
BRIGHTEN REST,"214/2, MESSENGER STREET , COLOMBO 12",24,Colombo,Colombo,Colombo Divisional Secretariat,79.863959,6.94154,Guest Houses(1),A,superior,Veg & Non-Veg,SL_HOTEL_00591
